,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,total_times_minimizer_missed,total_no_times_inequals_sat
86,48.0,0.0,48.0,1753.771478652954,1752.9942512512207,1.55172852930962e-07,1.55172852930962e-07,0.0,952.0
87,47.0,0.0,47.0,1703.7045650482178,1702.212231874466,9.618213541382233e-08,9.618213541382233e-08,0.0,953.0
88,47.0,0.0,47.0,1246.434740304947,1514.122804403305,1.1352658414693689e-07,1.1352658414693689e-07,0.0,953.0
89,50.0,0.0,50.0,1759.0139019489288,1754.1945831775665,1.0457937657841676e-07,1.0457937657841676e-07,0.0,950.0
90,46.0,0.0,46.0,1584.72030210495,1612.3862781524658,9.047623739046073e-08,9.047623739046073e-08,1.0,954.0
91,48.0,0.0,48.0,1736.1496410369873,1732.6788606643677,1.7653687742686862e-07,1.7653687742686862e-07,0.0,952.0
92,47.0,0.0,47.0,1764.9417283535004,1755.996200799942,1.757442800601892e-07,1.757442800601892e-07,0.0,953.0
93,47.0,0.0,47.0,1728.5826637744904,1727.9707417488098,8.417293419076592e-08,8.417293419076592e-08,0.0,953.0
94,50.0,0.0,50.0,1744.3879237174988,1742.903907775879,8.826652315765779e-08,8.826652315765779e-08,0.0,950.0
95,49.0,0.0,49.0,1611.380267381668,1519.109750032425,8.687384455814633e-08,8.687384455814633e-08,0.0,951.0
96,47.0,0.0,47.0,1346.827567100525,1117.901496887207,1.7457582085297684e-07,1.7457582085297684e-07,0.0,953.0
97,45.0,0.0,45.0,1536.8119904994965,1550.3901410102844,7.836826525404293e-08,7.836826525404293e-08,0.0,955.0
98,48.0,0.0,48.0,1254.2926573753357,1055.9000825881958,9.248994069733935e-08,9.248994069733935e-08,0.0,952.0
99,50.0,0.0,50.0,1140.1663794517517,1081.9454963207245,1.6126868605990284e-07,1.6126868605990284e-07,0.0,950.0
