,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,total_times_minimizer_missed,total_no_times_inequals_sat
63,10.0,107.0,10.0,303.27430415153503,289.4895040988922,-0.6603857960876859,-0.6603857960876859,0.0,883.0
64,10.0,60.0,10.0,302.20454502105713,297.199147939682,-0.6802194161055478,-0.6802194161055478,0.0,930.0
65,10.0,92.0,10.0,327.08116936683655,326.9673478603363,-0.665507225894827,-0.665507225894827,0.0,898.0
66,10.0,76.0,10.0,300.78506994247437,291.61930418014526,-0.6670263403273865,-0.6670263403273865,1.0,914.0
67,10.0,91.0,10.0,302.96448802948,290.62967896461487,-0.6766309063100416,-0.6766309063100416,0.0,899.0
68,10.0,113.0,10.0,306.2713317871094,292.9646472930908,-0.69874094300247,-0.69874094300247,0.0,877.0
69,10.0,77.0,10.0,296.6210968494415,287.6571111679077,-0.6890269961662202,-0.6890269961662202,0.0,913.0
70,10.0,106.0,10.0,304.3435797691345,293.41301107406616,-0.6789575122216881,-0.6789575122216881,0.0,884.0
71,10.0,75.0,10.0,329.297404050827,338.3325810432434,-0.6899154433158321,-0.6899154433158321,1.0,915.0
72,10.0,77.0,10.0,310.81743121147156,301.1839199066162,-0.6988820836436015,-0.6988820836436015,1.0,913.0
73,10.0,85.0,10.0,310.0634377002716,302.0990791320801,-0.6729392785302996,-0.6729392785302996,0.0,905.0
74,10.0,73.0,10.0,302.7645409107208,298.9154989719391,-0.6847433314349797,-0.6847433314349797,2.0,917.0
75,10.0,76.0,10.0,305.87420988082886,300.7648961544037,-0.6630985161058393,-0.6630985161058393,0.0,914.0
76,10.0,54.0,10.0,303.2390809059143,300.458459854126,-0.6634010390907857,-0.6634010390907857,0.0,936.0
77,10.0,89.0,10.0,360.10880732536316,311.3381519317627,-0.6938203386384322,-0.6938203386384322,0.0,901.0
78,10.0,56.0,10.0,303.31123781204224,296.03571701049805,-0.5910022182295446,-0.5910022182295446,1.0,934.0
